Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
2005,"12,683","13,457","16,738","18,458","16,297","19,071","21,553","23,083","21,646","17,207","18,046","25,956",224195.00
2006,"16,237","16,329","20,730","20,528","22,100","19,290","20,518","21,437","18,435","14,267","15,363","18,296",223530.00
2007,"15,272","14,941","15,527","17,154","19,825","20,003","22,532","18,581","16,912","15,403","15,932","18,444",210526.00
2008,"12,928","14,732","17,843","17,606","19,953","20,666","18,406","20,321","15,872","14,823","13,308","16,599",203057.00
2009,"11,921","12,994","15,022","15,679","18,957","18,480","19,946","23,997","17,105","16,439","15,620","19,612",205772.00
2010,"17,407","18,116","22,148","23,135","23,543","21,051","23,880","22,855","19,943","20,084","20,189","23,867",256218.00
2011,"18,401","21,461","27,176","28,542","30,100","28,444","29,066","25,232","26,313","26,512","26,756","30,971",318974.00
2012,"27,209","59,851","36,588","37,525","38,657","38,170","37,014","41,011","36,339","34,311","36,728","44,005",467408.00
2013,"29,018","31,456","37,704","33,644","38,013","36,957","35,779","40,342","31,920","28,129","30,726","34,015",407703.00
2014,"23,494","27,112","36,717","30,831","32,163","28,827","30,553","35,181","25,996","30,313","31,725","34,058",366970.00
2015,"23,504","25,710","30,025","30,009","34,758","30,436","31,300","32,332","26,141","30,387","23,882","30,956",349440.00
2016,"20,079","22,321","26,914","27,112","28,779","23,809","28,758","29,384","24,112","24,779","29,672","37,229",322948.00
2017,"23,510","25,145","27,635","27,557","30,014","27,377","27,091","32,015","32,112","27,732","29,207","30,281",339676.00
2018,"24,744","26,660","32,548","28,783","31,211","28,941","30,520","32,255","30,555","29,000","26,789","32,047",354053.00
2019,"23,074","25,706","37,092","31,309","35,702","31,725","31,188","35,412","26,947","28,072","29,218","27,877",363322.00
2020,"24,382","31,565","51,168","12,588","27,972","29,373","29,634","26,342","28,538","31,751","26,082","36,289",355684.00
2021,"28,068","28,068","32,050","40,694","39,109","33,821","26,769","25,776","26,769","28,446","28,446","28,446",366462.00
2022,"20,797","20,797","23,397","25,763","25,763","25,763","28,330","29,419","28,330",0,0,0,228359.00
